k,target,n_pos,prevalence,n_pos_train,prevalence_train,n_scorable_train,clears_threshold,has_head
3,CARDIO-VASCULAR_DISORDER_EVENT,715,0.017432646592709985,511,0.017747985551542094,28792,True,True
3,DEATH_EVENT,2749,0.06702425941728636,1980,0.06876910252848013,28792,True,True
3,HYPERGLYCEMIA_EVENT,13087,0.31907838595635746,9191,0.31922061683801056,28792,True,True
3,HYPOGLYCEMIA_EVENT,1550,0.03779105205412654,1056,0.03667685468185607,28792,True,True
3,INFECTION_EVENT,387,0.009435572351578691,297,0.01031536537927202,28792,True,True
3,KIDNEY_COMPLICATION_EVENT,4491,0.10949652566134341,3109,0.10798138371769936,28792,True,True
3,SEVERE_HYPERGLYCEMIA_EVENT,11809,0.28791905400463247,8292,0.2879966657404835,28792,True,True
3,SEVERE_HYPOGLYCEMIA_EVENT,1042,0.025405339509935388,713,0.024763823284245624,28792,True,True
3,HYPEROSMOLALITY_EVENT,177,0.004315494331342192,127,0.004410947485412615,28792,False,False
3,KETOACIDOSIS_EVENT,209,0.005095696696330611,139,0.004827729924979161,28792,False,False
4,CARDIO-VASCULAR_DISORDER_EVENT,489,0.015685645549318363,356,0.016263876833112523,21889,True,True
4,DEATH_EVENT,2336,0.0749318364073777,1686,0.07702498972086436,21889,True,True
4,HYPERGLYCEMIA_EVENT,9709,0.3114354450681636,6813,0.3112522271460551,21889,True,True
4,HYPOGLYCEMIA_EVENT,1110,0.03560545308740978,764,0.03490337612499429,21889,True,True
4,INFECTION_EVENT,295,0.00946271050521251,221,0.01009639544976929,21889,True,True
4,KIDNEY_COMPLICATION_EVENT,3489,0.11191659983961508,2409,0.11005527890721367,21889,True,True
4,SEVERE_HYPERGLYCEMIA_EVENT,8722,0.27977546110665596,6119,0.2795468043309425,21889,True,True
4,SEVERE_HYPOGLYCEMIA_EVENT,740,0.023736968724939855,512,0.023390744209420257,21889,True,True
4,HYPEROSMOLALITY_EVENT,123,0.0039454691259021655,85,0.003883229019142035,21889,False,False
4,KETOACIDOSIS_EVENT,134,0.00429831595829992,84,0.003837543971858011,21889,False,False
5,CARDIO-VASCULAR_DISORDER_EVENT,342,0.014519210358734876,249,0.015026250678896867,16571,True,True
5,DEATH_EVENT,1971,0.08367650180428783,1414,0.08532979301188824,16571,True,True
5,HYPERGLYCEMIA_EVENT,7066,0.29997877308427084,4945,0.2984128899885342,16571,True,True
5,HYPOGLYCEMIA_EVENT,785,0.03332625769475695,532,0.03210427855892825,16571,True,True
5,INFECTION_EVENT,221,0.009382296752281893,167,0.010077846840866574,16571,True,True
5,KIDNEY_COMPLICATION_EVENT,2642,0.11216302271279983,1824,0.11007181220203971,16571,True,True
5,SEVERE_HYPERGLYCEMIA_EVENT,6397,0.2715771598386754,4468,0.2696276627843823,16571,True,True
5,SEVERE_HYPOGLYCEMIA_EVENT,516,0.02190617703247718,355,0.02142296783537505,16571,True,True
5,HYPEROSMOLALITY_EVENT,86,0.0036510295054128636,60,0.003620783296119727,16571,False,False
5,KETOACIDOSIS_EVENT,83,0.0035236680110379962,53,0.0031983585782390926,16571,False,False
6,CARDIO-VASCULAR_DISORDER_EVENT,243,0.013632538569424965,172,0.013731438607695993,12526,True,True
6,DEATH_EVENT,1637,0.09183730715287518,1174,0.09372505189206451,12526,True,True
6,HYPERGLYCEMIA_EVENT,5113,0.28684431977559605,3584,0.2861248602905956,12526,True,True
6,HYPOGLYCEMIA_EVENT,570,0.03197755960729313,383,0.030576401085741656,12526,True,True
6,INFECTION_EVENT,130,0.0072931276297335205,102,0.008143062430145297,12526,False,True
6,KIDNEY_COMPLICATION_EVENT,2028,0.11377279102384291,1404,0.11208685933258822,12526,True,True
6,SEVERE_HYPERGLYCEMIA_EVENT,4611,0.25868162692847124,3207,0.2560274628772154,12526,True,True
6,SEVERE_HYPOGLYCEMIA_EVENT,385,0.021598877980364656,261,0.020836659747724733,12526,True,True
6,HYPEROSMOLALITY_EVENT,62,0.0034782608695652175,43,0.003432859651923998,12526,False,False
6,KETOACIDOSIS_EVENT,61,0.0034221598877980366,42,0.0033530257065304166,12526,False,False
7,CARDIO-VASCULAR_DISORDER_EVENT,171,0.012883296918556468,118,0.012669100279149668,9314,True,True
7,DEATH_EVENT,1363,0.10268967076018985,980,0.10521795147090401,9314,True,True
7,HYPERGLYCEMIA_EVENT,3683,0.27748059971370453,2573,0.2762508052394245,9314,True,True
7,HYPOGLYCEMIA_EVENT,404,0.030437730731560312,279,0.029954906592226757,9314,True,True
7,INFECTION_EVENT,80,0.00602727341219016,65,0.006978741679192613,9314,False,True
