,CARDIO-VASCULAR_DISORDER_EVENT,DEATH_EVENT,HYPERGLYCEMIA_EVENT,HYPOGLYCEMIA_EVENT,INFECTION_EVENT,KIDNEY_COMPLICATION_EVENT,SEVERE_HYPERGLYCEMIA_EVENT,SEVERE_HYPOGLYCEMIA_EVENT
ANTIDIABETIC_HIGH_HYPO_HOSPITAL_BITZUA__mean,-0.0142750135,-0.013018276,-0.0023903793,-0.019655054,-0.02006551,-0.003227775,0.0069999113,-0.0021406377
ASPARATE-AMINOTRANSFERASE_MEASURE__mean,-0.024547582,0.022261567,0.0006751994,-0.014105405,-0.02031021,-0.053933322,0.06694047,0.025856417
BASAL_DOSAGE__mean,-0.028550753,0.025581848,0.03663031,0.038440432,-0.001570832,0.076035455,0.03793243,0.050976533
BASAL_HOME_BITZUA__mean,0.020367732,0.0029965318,-0.010094165,-0.012578851,0.01016222,0.014140163,0.0016763466,0.015669633
BASE_GLUCOSE_MEASURE__mean,-0.002032485,0.014340974,0.012593332,-0.008830164,0.019511912,0.014065105,0.004660449,0.018378412
BICARBONATE_MEASURE__mean,-0.02052654,0.0061558182,0.019121654,0.032244455,-0.025845056,0.014797079,-0.0012395727,0.052143656
BLOOD_CULTURE__mean,-0.01999764,-0.0067548025,0.00072802976,0.019836204,0.00026513,-0.02039048,0.022424154,-0.015068592
BLOOD_PRESSURE_DIASTOLIC_MEASURE__mean,0.0012361499,0.03808981,0.015951768,0.005701554,0.10389782,0.0407119,-0.02674397,0.01794462
BLOOD_PRESSURE_SYSTOLIC_MEASURE__mean,-0.010798826,0.0009128871,0.027779637,0.028116813,-0.18637428,0.001090046,0.032484405,0.029137135
BMI_MEASURE__mean,-0.01903636,-0.008696365,-0.03234915,-0.00878528,-0.000622938,0.03202403,-0.00806979,-0.029197337
BODY_TEMPERATURE_MEASURE__mean,-0.0028047634,0.030082168,0.038264778,-0.12846825,0.13622423,-0.17245641,0.018495217,0.056942813
BOLUS_DOSAGE__mean,-0.009426649,-0.046573363,0.06537272,0.044946015,-0.08756095,0.018299073,0.007589246,0.02294829
